
=== Confidence Scores for ADASYN ===
Sample 0: Avg Confidence = 1.6249
Sample 1: Avg Confidence = 2.4341
Sample 2: Avg Confidence = 1.9014
Sample 3: Avg Confidence = 3.1946
Sample 4: Avg Confidence = 1.1177
Sample 5: Avg Confidence = 1.8788
Sample 6: Avg Confidence = 2.5248
Sample 7: Avg Confidence = 2.3471
Sample 8: Avg Confidence = 4.0019
Sample 9: Avg Confidence = 1.5853
Sample 10: Avg Confidence = 2.0242
Sample 11: Avg Confidence = 1.7903
Sample 12: Avg Confidence = 1.5895
Sample 13: Avg Confidence = 1.2989
Sample 14: Avg Confidence = 2.8157
Sample 15: Avg Confidence = 3.8416
Sample 16: Avg Confidence = 6.1835
Sample 17: Avg Confidence = 2.2874
Sample 18: Avg Confidence = 1.1444
Sample 19: Avg Confidence = 2.6505
Sample 20: Avg Confidence = 1.6458
Sample 21: Avg Confidence = 0.3731
Sample 22: Avg Confidence = 3.4284
Sample 23: Avg Confidence = 3.3963
Sample 24: Avg Confidence = 2.1590
Sample 25: Avg Confidence = 1.8324
Sample 26: Avg Confidence = 0.8334
Sample 27: Avg Confidence = 2.5398
Sample 28: Avg Confidence = 2.1465
Sample 29: Avg Confidence = 2.3212
Sample 30: Avg Confidence = 2.5220
Sample 31: Avg Confidence = 1.1030
Sample 32: Avg Confidence = 2.1652
Sample 33: Avg Confidence = 1.4379
Sample 34: Avg Confidence = 2.4084
Sample 35: Avg Confidence = 1.4722
Sample 36: Avg Confidence = 2.5721
Sample 37: Avg Confidence = 2.0714
Sample 38: Avg Confidence = 2.5165
Sample 39: Avg Confidence = 2.8302
Sample 40: Avg Confidence = 2.8274
Sample 41: Avg Confidence = 1.8820
Sample 42: Avg Confidence = 2.0403
Sample 43: Avg Confidence = 1.6707
Sample 44: Avg Confidence = 1.8066
Sample 45: Avg Confidence = 1.4802
Sample 46: Avg Confidence = 2.4747
Sample 47: Avg Confidence = 2.2864
Sample 48: Avg Confidence = 1.6057
Sample 49: Avg Confidence = 2.0658
Sample 50: Avg Confidence = 1.3542
Sample 51: Avg Confidence = 0.8210
Sample 52: Avg Confidence = 2.5207
Sample 53: Avg Confidence = 4.1607
Sample 54: Avg Confidence = 2.1512
Sample 55: Avg Confidence = 2.4219
Sample 56: Avg Confidence = 1.9563
Sample 57: Avg Confidence = 2.4559
Sample 58: Avg Confidence = 2.2715
Sample 59: Avg Confidence = 4.5530
Sample 60: Avg Confidence = 3.3082
Sample 61: Avg Confidence = 2.8436
Sample 62: Avg Confidence = 1.3097
Sample 63: Avg Confidence = 1.5347
Sample 64: Avg Confidence = 1.0089
Sample 65: Avg Confidence = 2.7798
Sample 66: Avg Confidence = 4.9857
Sample 67: Avg Confidence = 2.2811
Sample 68: Avg Confidence = 1.5680
Sample 69: Avg Confidence = 2.7175
Sample 70: Avg Confidence = 2.8511
Sample 71: Avg Confidence = 3.7540
Sample 72: Avg Confidence = 4.1477
Sample 73: Avg Confidence = 3.3169
Sample 74: Avg Confidence = 2.7098
Sample 75: Avg Confidence = 6.5886
Sample 76: Avg Confidence = 2.0123
Sample 77: Avg Confidence = 2.0606
Sample 78: Avg Confidence = 1.5719
Sample 79: Avg Confidence = 3.4991
Sample 80: Avg Confidence = 3.5001
Sample 81: Avg Confidence = 3.7124
Sample 82: Avg Confidence = 3.3673
Sample 83: Avg Confidence = 1.7879
Sample 84: Avg Confidence = 2.3886
Sample 85: Avg Confidence = 3.4164
Sample 86: Avg Confidence = 3.3024
Sample 87: Avg Confidence = 3.0379
Sample 88: Avg Confidence = 3.6793
Sample 89: Avg Confidence = 1.0564
Sample 90: Avg Confidence = 3.2910
Sample 91: Avg Confidence = 3.4960
Sample 92: Avg Confidence = 2.0696
Sample 93: Avg Confidence = 4.2279
Sample 94: Avg Confidence = 4.7488
Sample 95: Avg Confidence = 1.9558
Sample 96: Avg Confidence = 2.3365
Sample 97: Avg Confidence = 0.8560
Sample 98: Avg Confidence = 3.9229
Sample 99: Avg Confidence = 4.0758
Sample 100: Avg Confidence = 2.8275
Sample 101: Avg Confidence = 2.4945
Sample 102: Avg Confidence = 3.6209
Sample 103: Avg Confidence = 1.4605
Sample 104: Avg Confidence = 2.5472
Sample 105: Avg Confidence = 2.8691
Sample 106: Avg Confidence = 2.5869
Sample 107: Avg Confidence = 2.4140
Sample 108: Avg Confidence = 1.8389
Sample 109: Avg Confidence = 3.9209
Sample 110: Avg Confidence = 1.6666
Sample 111: Avg Confidence = 1.0874
Sample 112: Avg Confidence = 1.8738
Sample 113: Avg Confidence = 1.8616
Sample 114: Avg Confidence = 2.1297
Sample 115: Avg Confidence = 2.5029
Sample 116: Avg Confidence = 2.2383
Sample 117: Avg Confidence = 1.7098
Sample 118: Avg Confidence = 2.5273
Sample 119: Avg Confidence = 2.9924
Sample 120: Avg Confidence = 1.6005
Sample 121: Avg Confidence = 1.2854
Sample 122: Avg Confidence = 3.1603
Sample 123: Avg Confidence = 1.9213
Sample 124: Avg Confidence = 3.7937
Sample 125: Avg Confidence = 1.8357
Sample 126: Avg Confidence = 2.7332
Sample 127: Avg Confidence = 2.3048
Sample 128: Avg Confidence = 1.1242
Sample 129: Avg Confidence = 5.0027
Sample 130: Avg Confidence = 3.0322
Sample 131: Avg Confidence = 4.0683
Sample 132: Avg Confidence = 1.8607
Sample 133: Avg Confidence = 1.2550
Sample 134: Avg Confidence = 3.1043
Sample 135: Avg Confidence = 1.4873
Sample 136: Avg Confidence = 1.9846
Sample 137: Avg Confidence = 2.6827
Sample 138: Avg Confidence = 3.2272
Sample 139: Avg Confidence = 1.5304
Sample 140: Avg Confidence = 1.1277
Sample 141: Avg Confidence = 2.9099
Sample 142: Avg Confidence = 2.8399
Sample 143: Avg Confidence = 1.8196
Sample 144: Avg Confidence = 3.3720
Sample 145: Avg Confidence = 1.7724
Sample 146: Avg Confidence = 2.4831
Sample 147: Avg Confidence = 2.4040
Sample 148: Avg Confidence = 1.4931
Sample 149: Avg Confidence = 3.0311
Sample 150: Avg Confidence = 2.8092
Sample 151: Avg Confidence = 2.7719
Sample 152: Avg Confidence = 2.4620
Sample 153: Avg Confidence = 2.2889
Sample 154: Avg Confidence = 1.3319
Sample 155: Avg Confidence = 3.7380
Sample 156: Avg Confidence = 1.9223
Sample 157: Avg Confidence = 1.7796
Sample 158: Avg Confidence = 2.4282
Sample 159: Avg Confidence = 1.2591
Sample 160: Avg Confidence = 3.5920
Sample 161: Avg Confidence = 1.3674
Sample 162: Avg Confidence = 3.5762
Sample 163: Avg Confidence = 2.7651
Sample 164: Avg Confidence = 2.2951
Sample 165: Avg Confidence = 2.6466
Sample 166: Avg Confidence = 4.1044
Sample 167: Avg Confidence = 1.9378
Sample 168: Avg Confidence = 1.7129
Sample 169: Avg Confidence = 1.9878
Sample 170: Avg Confidence = 2.9676
Sample 171: Avg Confidence = 3.1914
Sample 172: Avg Confidence = 2.5984
